contestant,time,chocolates,cumulative_chocolates,chocolates_within_100min,session_rank,delta_from_previous,time_window_chocolates_rank
tortoise,273,1,283,126,141,-4,94
tortoise,274,1,284,126,141,0,94
tortoise,276,9,293,124,27,8,105
tortoise,285,3,296,124,112,-6,105
tortoise,292,1,297,128,141,-2,88
tortoise,300,15,312,139,3,14,52
tortoise,303,6,318,125,70,-9,98
tortoise,305,3,321,119,112,-3,132
tortoise,314,4,325,121,99,1,118
tortoise,319,11,336,121,18,7,118
tortoise,321,1,337,127,141,-10,92
tortoise,322,5,342,122,85,4,116
tortoise,323,3,345,122,112,-2,116
tortoise,331,1,346,111,141,-2,175
tortoise,332,7,353,118,55,6,143
tortoise,338,12,365,124,10,5,105
tortoise,346,8,373,125,41,-4,98
tortoise,347,5,378,125,85,-3,98
tortoise,348,11,389,125,18,6,98
tortoise,362,7,396,132,55,-4,79
tortoise,370,7,403,120,55,0,125
tortoise,371,1,404,120,141,-6,125
tortoise,382,7,411,112,55,6,172
tortoise,388,9,420,107,27,2,187
tortoise,390,1,421,95,141,-8,227
tortoise,394,1,422,96,141,0,224
tortoise,399,1,423,94,141,0,234
tortoise,405,10,433,95,24,9,227
tortoise,408,14,447,95,4,4,227
tortoise,410,5,452,103,85,-9,202
tortoise,412,1,453,110,141,-4,179
tortoise,413,1,454,103,141,0,202
tortoise,416,1,455,113,141,0,166
tortoise,420,1,456,114,141,0,163
tortoise,429,1,457,119,141,0,132
tortoise,432,1,458,119,141,0,132
tortoise,433,1,459,112,141,0,172
tortoise,438,1,460,115,141,0,158
tortoise,441,1,461,105,141,0,195
tortoise,445,9,470,112,27,8,172
tortoise,448,13,483,114,5,4,163
tortoise,453,1,484,121,141,-12,118
tortoise,459,8,492,101,41,7,208
tortoise,462,7,499,106,55,-1,192
tortoise,464,9,508,105,27,2,195
tortoise,465,1,509,105,141,-8,195
tortoise,469,1,510,105,141,0,195
tortoise,473,9,519,106,27,8,192
tortoise,478,1,520,107,141,-8,187
tortoise,479,3,523,111,112,2,175
tortoise,484,1,524,108,141,-2,183
tortoise,486,1,525,116,141,0,150
tortoise,488,1,526,116,141,0,150
tortoise,492,8,534,131,41,7,83
tortoise,497,1,535,139,141,-7,52
tortoise,498,1,536,139,141,0,52
tortoise,500,8,544,134,41,7,72
tortoise,505,4,548,151,99,-4,14
tortoise,511,1,549,143,141,-3,40
tortoise,512,9,558,148,27,8,26
tortoise,514,1,559,142,141,-8,44
tortoise,519,1,560,144,141,0,33
tortoise,520,1,561,151,141,0,14
tortoise,521,1,562,151,141,0,14
tortoise,526,1,563,143,141,0,40
tortoise,529,4,567,143,99,3,40
tortoise,535,8,575,151,41,4,14
tortoise,540,16,591,150,2,8,18
tortoise,541,1,592,150,141,-15,18
tortoise,543,1,593,144,141,0,33
tortoise,545,13,606,144,5,12,33
tortoise,546,3,609,144,112,-10,33
tortoise,549,8,617,152,41,5,13
tortoise,551,8,625,144,41,0,33
tortoise,552,1,626,145,141,-7,30
tortoise,553,1,627,145,141,0,30
tortoise,555,8,635,145,41,7,30
tortoise,562,5,640,143,85,-3,40
tortoise,563,1,641,140,141,-4,48
tortoise,566,1,642,139,141,0,52
tortoise,567,1,643,139,141,0,52
tortoise,569,10,653,139,24,9,52
tortoise,570,8,661,138,41,-2,58
tortoise,574,1,662,138,141,-7,58
tortoise,578,1,663,137,141,0,61
tortoise,580,10,673,133,24,9,76
tortoise,583,1,674,133,141,-9,76
tortoise,584,1,675,134,141,0,72
tortoise,590,1,676,127,141,0,92
tortoise,592,1,677,111,141,0,175
tortoise,593,1,678,111,141,0,175
tortoise,597,1,679,95,141,0,227
tortoise,598,9,688,95,27,8,227
tortoise,602,1,689,91,141,-8,253
tortoise,608,1,690,87,141,0,270
tortoise,609,1,691,87,141,0,270
tortoise,610,1,692,87,141,0,270
tortoise,613,6,698,92,70,5,244
tortoise,621,1,699,90,141,-5,260
tortoise,623,1,700,90,141,0,260
tortoise,634,1,701,97,141,0,223
tortoise,640,1,702,107,141,0,187
tortoise,642,1,703,113,141,0,166
tortoise,646,1,704,117,141,0,148
tortoise,650,12,716,115,10,11,158
tortoise,654,3,719,118,112,-9,143
tortoise,655,1,720,118,141,-2,143
tortoise,656,1,721,119,141,0,132
tortoise,658,1,722,119,141,0,132
tortoise,661,1,723,116,141,0,150
tortoise,663,9,732,116,27,8,150
tortoise,665,13,745,110,5,4,179
tortoise,667,1,746,110,141,-12,179
tortoise,669,4,750,119,99,3,132
tortoise,671,1,751,119,141,-3,132
tortoise,674,12,763,125,10,11,98
tortoise,675,1,764,125,141,-11,98
tortoise,677,7,771,125,55,6,98
tortoise,685,1,772,126,141,-6,94
tortoise,687,8,780,137,41,7,61
tortoise,689,2,782,144,131,-6,33
tortoise,691,7,789,144,55,5,33
tortoise,696,6,795,161,70,-1,6
tortoise,698,7,802,165,55,1,3
tortoise,699,1,803,170,141,-6,1
tortoise,701,1,804,158,141,0,7
tortoise,704,3,807,167,112,2,2
tortoise,706,1,808,163,141,-2,4
tortoise,718,9,817,148,27,8,26
tortoise,724,8,825,150,41,-1,18
tortoise,730,1,826,141,141,-7,46
tortoise,735,1,827,155,141,0,10
tortoise,736,6,833,155,70,5,10
tortoise,737,5,838,162,85,-1,5
tortoise,738,1,839,157,141,-4,8
tortoise,739,6,845,157,70,5,8
tortoise,740,1,846,155,141,-5,10
tortoise,743,11,857,148,18,10,26
tortoise,744,6,863,149,70,-5,21
tortoise,746,1,864,149,141,-5,21
tortoise,747,5,869,149,85,4,21
tortoise,749,5,874,142,85,0,44
tortoise,752,9,883,140,27,4,48
tortoise,758,1,884,137,141,-8,61
tortoise,759,1,885,137,141,0,61
tortoise,762,2,887,147,131,1,29
tortoise,764,1,888,149,141,-1,21
tortoise,768,6,894,149,70,5,21
tortoise,769,1,895,140,141,-5,48
tortoise,771,1,896,140,141,0,48
tortoise,773,5,901,141,85,4,46
tortoise,777,5,906,135,85,0,66
tortoise,778,1,907,135,141,-4,66
tortoise,779,1,908,135,141,0,66
tortoise,780,4,912,136,99,3,65
tortoise,781,4,916,135,99,0,66
tortoise,782,1,917,135,141,-3,66
tortoise,784,9,926,135,27,8,66
tortoise,786,1,927,134,141,-8,72
tortoise,787,7,934,128,55,6,88
tortoise,788,3,937,123,112,-4,109
tortoise,794,1,938,107,141,-2,187
tortoise,797,6,944,101,70,5,208
tortoise,808,1,945,94,141,-5,234
tortoise,810,9,954,92,27,8,244
tortoise,811,1,955,92,141,-8,244
tortoise,813,2,957,91,131,1,253
tortoise,823,1,958,96,141,-1,224
tortoise,824,1,959,91,141,0,253
tortoise,826,1,960,91,141,0,253
tortoise,830,1,961,84,141,0,274
tortoise,841,2,963,70,131,1,289
tortoise,843,1,964,71,141,-1,288
tortoise,846,1,965,70,141,0,289
tortoise,855,11,976,88,18,10,266
tortoise,857,1,977,89,141,-10,262
tortoise,863,1,978,89,141,0,262
tortoise,864,1,979,87,141,0,270
tortoise,867,12,991,88,10,11,266
tortoise,873,1,992,89,141,-11,262
tortoise,881,6,998,106,70,5,192
tortoise,886,1,999,116,141,-5,150
tortoise,887,2,1001,116,131,1,150
tortoise,888,3,1004,116,112,1,150
tortoise,889,3,1007,116,112,0,150
tortoise,893,1,1008,115,141,-2,158
tortoise,897,11,1019,118,18,10,143
tortoise,904,12,1031,129,10,1,85
tortoise,905,1,1032,129,141,-11,85
tortoise,907,1,1033,123,141,0,109
tortoise,909,1,1034,128,141,0,88
tortoise,912,1,1035,128,141,0,88
tortoise,913,9,1044,134,27,8,72
tortoise,915,1,1045,132,141,-8,79
tortoise,919,1,1046,120,141,0,125
tortoise,926,12,1058,119,10,11,132
tortoise,927,3,1061,119,112,-9,132
tortoise,928,5,1066,119,85,2,132
tortoise,931,1,1067,119,141,-4,132
tortoise,933,1,1068,113,141,0,166
tortoise,934,7,1075,113,55,6,166
tortoise,935,1,1076,113,141,-6,166
tortoise,936,1,1077,113,141,0,166
tortoise,943,1,1078,104,141,0,200
tortoise,947,5,1083,103,85,4,202
tortoise,949,1,1084,92,141,-4,244
tortoise,950,9,1093,92,27,8,244
tortoise,953,1,1094,92,141,-8,244
tortoise,957,5,1099,79,85,4,276
tortoise,959,6,1105,78,70,1,277
tortoise,963,6,1111,76,70,0,284
